file,line,specifier,binding,resolved_file,resolution
scripts/ci/check-chip-conservation.mjs,21,node:module,{ createRequire },,External Or Requires Dynamic/Alias Review
scripts/ci/check-chip-conservation.mjs,22,node:fs,"{ readFileSync, existsSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-club-fk-indexes.mjs,44,node:process,process,,External Or Requires Dynamic/Alias Review
scripts/ci/check-club-fk-indexes.mjs,45,./supabase-auth-headers.mjs,{ supabaseServerHeaders },scripts/ci/supabase-auth-headers.mjs,Resolved Local File
scripts/ci/check-cosmetic-catalog-drift.mjs,29,node:fs,{ readFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-cosmetic-catalog-drift.mjs,30,./supabase-auth-headers.mjs,{ supabaseServerHeaders },scripts/ci/supabase-auth-headers.mjs,Resolved Local File
scripts/ci/check-cron-health.mjs,37,./supabase-auth-headers.mjs,{ supabaseServerHeaders },scripts/ci/supabase-auth-headers.mjs,Resolved Local File
scripts/ci/check-css-modules.mjs,26,node:fs,"{ readFileSync, readdirSync, statSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-css-modules.mjs,27,node:path,"{ dirname, resolve, join, relative, sep }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-db-copy.mjs,39,./supabase-auth-headers.mjs,{ supabaseServerHeaders },scripts/ci/supabase-auth-headers.mjs,Resolved Local File
scripts/ci/check-ddl-reload-storms.mjs,101,node:url,{ pathToFileURL },,External Or Requires Dynamic/Alias Review
scripts/ci/check-ddl-reload-storms.mjs,103,./supabase-auth-headers.mjs,{ supabaseServerHeaders },scripts/ci/supabase-auth-headers.mjs,Resolved Local File
scripts/ci/check-definer-authorization.mjs,113,node:child_process,{ execFileSync },,External Or Requires Dynamic/Alias Review
scripts/ci/check-definer-authorization.mjs,114,node:fs,"{ readFileSync, existsSync, readdirSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/check-definer-authorization.mjs,115,node:url,{ pathToFileURL },,External Or Requires Dynamic/Alias Review
scripts/ci/check-definer-authorization.mjs,116,node:path,{ join },,External Or Requires Dynamic/Alias Review
