file,line,kind,target,dynamic,file_kind,status
scripts/ci/check-cron-health.mjs,58,HTTP,`${URL_BASE}/rest/v1/rpc/fn_ca_cron_health`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/check-db-copy.mjs,51,HTTP,`${URL_BASE}/rest/v1/rpc/fn_ca_banned_copy_characters`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/check-ddl-reload-storms.mjs,224,HTTP,url,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/check-ddl-reload-storms.mjs,245,HTTP,url,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/check-embed-relationships.mjs,185,HTTP,target,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/check-embed-relationships.mjs,221,Table Candidate,"{ length: Math.min(CONCURRENCY, queue.length) }",True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/check-main-is-green.mjs,92,HTTP,`https://api.github.com${path}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/check-open-prs-are-green.mjs,224,HTTP,`https://api.github.com${path}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/check-phantom-columns.mjs,309,HTTP,`${url}/rest/v1/rpc/fn_columns_manifest`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/check-phantom-tables.mjs,259,HTTP,`${url}/rest/v1/rpc/fn_schema_manifest`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/check-secrets-expiry.mjs,51,HTTP,https://api.github.com/rate_limit,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/check-secrets-expiry.mjs,67,Table Candidate,v.split('.')[1],True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/check-secrets-expiry.mjs,136,HTTP,`https://api.github.com${path}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/check-telemetry-exposure.mjs,53,HTTP,`${URL_BASE}/rest/v1/rpc/${name}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/gen-schema-manifest.mjs,86,HTTP,`${URL}/rest/v1/rpc/${fn}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/pr-push.mjs,55,HTTP,`https://api.github.com${path}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/pr-status.mjs,187,HTTP,url,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/pr-status.mjs,240,HTTP,`https://api.github.com/repos/${REPO}/actions/jobs/${jobId}/logs`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/pr-status.mjs,285,HTTP,`https://api.github.com/repos/${REPO}${path}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/prove-engine-version-moved.mjs,92,HTTP,"`${SUPABASE_URL}/rest/v1/engine_leader?select=engine_version,heartbeat_at&id=eq.true`",True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/prove-engine-version-moved.mjs,113,HTTP,`${ENGINE_URL}/health?nocache=${Date.now()}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/prove-engine-version-moved.mjs,142,HTTP,`${SUPABASE_URL}/rest/v1/ca_incident_recipients?scope=eq.platform&active=eq.true&select=user_id`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/prove-engine-version-moved.mjs,158,HTTP,`${SUPABASE_URL}/rest/v1/rpc/fn_raise_notification`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/remove-world-hub-bypass.mjs,72,HTTP,`https://api.github.com${path}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/route-performance.mjs,30,HTTP,`${ORIGIN}/hub/club-arena/`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/triage-open-prs.mjs,119,HTTP,url,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/dev/lobby-card-shot.tsx,35,Table Candidate,{ length: 10 },True,development-or-preview,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/dev/lobby-card-shot.tsx,44,Table Candidate,{ length: 12 },True,development-or-preview,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/dev/measure-rit-panel.mjs,40,Table Candidate,{ length: rows },True,development-or-preview,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/dev/preview-seat-knockout.mjs,246,Table Candidate,{ length: 8 },True,development-or-preview,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/e2e-avatar-audit.mjs,25,HTTP,`${SUPABASE_URL}/auth/v1/token?grant_type=password`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/e2e-mobile-overflow-audit.mjs,25,HTTP,`${SUPABASE_URL}/auth/v1/token?grant_type=password`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,60,RPC,credit_player_wallet,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,68,RPC,deduct_player_wallet,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
